"state","county","Latitude","Longitude","case.pAug","case.pSep","case.pOct","case.pNov","case.pDec","case.pJan","vacJul","vacAug","vacSep","vacOct","vacNov","vacDec","dethAug","dethSep","dethOct","dethNov","dethDec","dethJan","dethFeb","CountyId","State","TotalPop","Men","Women","Hispanic","White","Black","Native","Asian","Pacific","VotingAgeCitizen","Income","IncomeErr","IncomePerCap","IncomePerCapErr","Poverty","ChildPoverty","Professional","Service","Office","Construction","Production","Drive","Carpool","Transit","Walk","OtherTransp","WorkAtHome","MeanCommute","Employed","PrivateWork","PublicWork","SelfEmployed","FamilyWork","Unemployment","logd","vaxx0"
"AL","Autauga",32.53952745,-86.64408227,0.0250049222287852,0.010220336859439,0.00939698222627933,0.00386618697309779,0.0321645277345218,0.0556301347795737,23.2705077950205,24.6558914603805,28.8890082156473,34.0027564481197,36.0432440172547,37.2729062628649,168.250729384811,123.503194973957,57.2768440458931,55.4869426694589,64.4364495516297,132.452701856128,259.535699582953,1001,"Alabama",55036,26899,28137,2.7,75.4,18.9,0.3,0.9,0,41016,55317,2838,27824,2024,13.7,20.1,35.3,18,23.2,8.1,15.4,86,9.6,0.1,0.6,1.3,2.5,25.8,24112,74.1,20.2,5.6,0.1,5.2,4.81707639399336,-0.137080590966455
"AL","Baldwin",30.72774991,-87.72207058,0.0295295519499718,0.00888305544854279,0.00396892946414973,0.00221740415886468,0.0292697348970139,0.0449662685791591,28.4396642088571,29.76383525807,36.4088803676859,42.7439368554969,44.8762285314961,46.4199001944148,25.0857844235197,55.5470940806508,20.6061800621769,15.2306548285655,1.79184174453712,8.51124828655133,12.5428922117599,1003,"Alabama",203360,99527,103833,4.4,83.1,9.5,0.8,0.7,0,155376,52562,1348,29364,735,11.8,16.1,35.7,18.2,25.6,9.7,10.8,84.7,7.6,0.1,0.8,1.1,5.6,27,89527,80.7,12.9,6.3,0.1,5.5,4.0190298585801,-0.08600115298956
"AL","Barbour",31.868263,-85.3871286,0.024143239082881,0.0102487239731022,0.00340273839423155,0.00340273839423155,0.0326095762780523,0.0393340354857004,23.8839828242729,25.8810661913635,30.0008101758082,35.651786437657,38.8519808798509,40.9948958924086,16.2035161630074,24.3052742445111,20.2543952037592,16.2035161630074,4.05087904075184,12.1526371222555,36.4579113667666,1005,"Alabama",26201,13976,12225,4.2,45.7,47.8,0.2,0.6,0,20269,33368,2551,17561,798,27.2,44.9,25,16.8,22.6,11.5,24.1,83.4,11.1,0.3,2.2,1.7,1.3,23.4,8878,74.1,19.1,6.5,0.3,12.4,3.19479926650241,-0.124828843656625
"AL","Bibb",32.99642064,-87.1251146,0.0324193980530499,0.0181745110297401,0.00495668482629277,0.00294721800482273,0.0327319817808341,0.0563097258194159,20.4429757970885,21.7647584174332,25.5559524872734,29.744574439582,31.2851656693757,32.0666249888363,35.7238546039118,44.6548182548897,17.8619273019559,31.2583727784228,4.46548182548897,4.46548182548897,13.3964454764669,1007,"Alabama",22580,12251,10329,2.4,74.6,22,0.4,0,0,17662,43404,3431,20911,1889,15.2,26.6,24.4,17.6,19.7,15.9,22.4,86.4,9.5,0.7,0.3,1.7,1.5,30,8171,76,17.4,6.3,0.3,8.2,3.80119910942514,-0.165991921395928
"AL","Blount",33.98210918,-86.56790593,0.0255940234496593,0.0148894960744302,0.00823159132570125,0.00600076090339985,0.0268910178812299,0.0428354027600042,16.8591982845087,17.746342475703,20.7363469719503,26.3704907826929,28.2139522014319,28.9956075121917,10.3759554525646,25.9398886314115,31.1278663576938,24.2105627226507,10.3759554525646,15.5639331788469,19.0225849963684,1009,"Alabama",57667,28490,29177,9,87.4,1.5,0.3,0.1,0,42513,47412,2630,22021,850,15.6,25.4,28.5,12.9,23.3,15.8,19.5,86.8,10.2,0.1,0.4,0.4,2.1,35,21380,83.9,11.9,4,0.1,4.9,3.25962954050371,-0.20617608081323
"AL","Bullock",32.10030533,-85.71265535,0.0144540144540145,0.00752400752400753,0.000297000297000305,0.00168300168300167,0.0397980397980398,0.0340560340560341,28.7694287694288,30.7692307692308,34.6599346599347,43.1046431046431,45.2430452430452,46.1637461637462,0,19.8000198000198,9.9000099000099,9.9000099000099,9.9000099000099,9.9000099000099,19.8000198000198,1011,"Alabama",10478,5616,4862,0.3,21.6,75.6,1,0.7,0,8212,29655,5376,20856,2355,28.5,50.4,19.7,17.1,18.6,14,30.6,73.1,15.7,0.3,6.2,1.7,3,29.8,4290,81.4,13.6,5,0,12.1,2.99072072670582,-0.0759471978779523
"AL","Butler",31.75300095,-86.68057478,0.0238584944467297,0.0112093788564377,0.00807280954339776,0.00411353352529825,0.0352735499794324,0.0472542163718634,23.2363225010284,24.5166598107775,27.930892636775,33.7772521596051,35.5409296585767,36.2659399424105,15.4257507198684,77.1287535993418,30.8515014397367,20.5676676264912,10.2838338132456,30.8515014397367,56.5610859728507,1013,"Alabama",20126,9416,10710,0.3,52.2,44.7,0.1,1.1,0,15459,36326,2701,19004,943,24.4,34.8,26.9,17.3,18.5,11.6,25.7,83.6,12.6,0,0.9,0.9,2,23.2,7727,79.1,15.3,5.3,0.3,7.6,4.34677184363625,-0.138472907462485
"AL","Calhoun",33.77483727,-85.82630386,0.0280973548699441,0.024303507768144,0.00334492319880286,0.00251749482857269,0.0256238721887241,0.0514766075436821,25.2110382465561,26.397605739184,30.767131728357,39.5237885656441,41.7895339113595,43.6943796487831,17.6048589410677,65.1379780819506,58.9762774525769,20.2455877822279,12.3234012587474,19.3653448351745,29.9282601998151,1015,"Alabama",115527,55593,59934,3.6,72.7,20.4,0.2,1,0,88383,43686,1491,23638,793,18.6,26.6,29,17.5,23.7,10.4,19.4,85,9.2,0.2,1.3,1.1,3.2,24.8,47392,74.9,19.9,5.1,0.1,10.1,4.17804178527302,-0.11966344817842
"AL","Chambers",32.91360079,-85.39072749,0.0256510494978048,0.0142839959102664,0.00799903770974919,0.000872075539784689,0.0376195344920912,0.039544114993685,19.3179767847477,20.2832741925783,23.4798821194443,26.7697119143562,28.2341973897877,28.8657003668732,6.0143140674806,30.071570337403,15.0357851687015,0,15.0357851687015,3.0071570337403,12.0286281349612,1017,"Alabama",33895,16320,17575,2.2,56.2,39.3,0.3,1,0,26259,37342,2011,22002,1205,18.8,29.1,24.3,13.5,23,11.6,27.6,87.1,9.7,0.2,0.6,0.5,2,23.6,14527,84.5,11.8,3.7,0,6.4,3.40690010144862,-0.180806763644477
"AL","Cherokee",34.17805983,-85.60638968,0.0228279126584211,0.0105741334554894,0.00503893724232708,0.00458085203847915,0.0231714765613071,0.0488242479767904,19.7052985188578,20.3237135440525,22.572148419606,27.355321423118,28.9815238967781,29.5655825316842,3.81737669873263,30.539013589861,15.2695067949305,7.63475339746526,7.63475339746526,15.2695067949305,34.3563902885937,1019,"Alabama",25855,12862,12993,1.6,91.8,5,0.5,0.1,0,20620,40041,2316,23010,1354,16.1,20,28.8,14.8,18.1,11.9,26.5,85,12.1,0.4,0.3,0.3,2,26.5,9879,74.8,17.1,8.1,0,5.3,3.42227415081177,-0.180402370129735
